,PREDICTED CLASS
0,25
1,13
2,22
3,2
4,18
5,17
6,11
7,13
8,13
9,20
10,19
11,9
12,11
13,14
14,4
15,5
16,6
17,3
18,2
19,12
20,4
21,0
22,9
23,17
24,1
25,4
26,22
27,21
28,23
29,24
30,25
31,23
32,19
33,14
34,20
35,24
36,2
37,8
38,9
39,17
40,16
41,20
42,13
43,15
44,12
45,21
46,13
47,14
48,24
49,0
50,7
51,3
52,21
53,20
54,15
55,6
56,23
57,9
58,25
59,14
60,0
61,2
62,11
63,0
64,0
65,0
66,6
67,20
68,24
69,21
70,24
71,0
72,21
73,8
74,21
75,18
76,15
77,5
78,14
79,19
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
11,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0
12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
13,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0
14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
22,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
25,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
,PRECISION
0,0.42857142857142855
1,0.0
2,0.75
3,0.5
4,0.3333333333333333
5,0.5
6,0.6666666666666666
7,1.0
8,0.5
9,0.5
10,0.0
11,1.0
12,0.0
13,0.4
14,0.4
15,0.3333333333333333
16,1.0
17,0.6666666666666666
18,1.0
19,0.3333333333333333
20,0.6
21,0.3333333333333333
22,0.0
23,0.3333333333333333
24,0.4
25,0.0
,RECALL
0,0.75
1,0.0
2,0.75
3,0.3333333333333333
4,0.5
5,0.5
6,0.5
7,0.3333333333333333
8,0.3333333333333333
9,0.5
10,0.0
11,0.75
12,0.0
13,0.5
14,0.6666666666666666
15,0.3333333333333333
16,0.3333333333333333
17,0.5
18,0.6666666666666666
19,0.5
20,1.0
21,0.6666666666666666
22,0.0
23,0.5
24,0.6666666666666666
25,0.0
,F1-MEASURE
0,0.5454545454545454
1,0.0
2,0.75
3,0.4
4,0.4
5,0.5
6,0.5714285714285715
7,0.5
8,0.4
9,0.5
10,0.0
11,0.8571428571428571
12,0.0
13,0.4444444444444445
14,0.5
15,0.3333333333333333
16,0.5
17,0.5714285714285715
18,0.8
19,0.4
20,0.7499999999999999
21,0.4444444444444444
22,0.0
23,0.4
24,0.5
25,0.0

Accuracy: ,0.4625
Macro Average F1: ,0.42567987567987564
Weighted Average F1: ,0.44678661616161613
